song,year_x,num_tokens,num_sentences,avg_sentence_length,lexical_diversity,avg_word_length,nouns,verbs,adjectives,named_entities,modal_verbs,personal_pronouns,question_sentences,year_y,topic
Cartier (1980),1980.0,44,4,11.0,0.8636363636363636,3.977272727272727,8,7,2,0,0,5,0,1980.0,0
Chameleon (1976),1976.0,315,18,17.5,0.3015873015873015,3.949206349206349,32,21,21,0,2,41,2,1976.0,0
Chapel of Love,,102,11,9.272727272727272,0.4607843137254901,3.372549019607843,11,13,2,0,4,16,0,,0
Chasing the Crown (1980),1980.0,392,25,15.68,0.2142857142857142,3.431122448979592,79,75,9,0,0,65,0,1980.0,1
Chloe (1981),1981.0,222,32,6.9375,0.3243243243243243,3.373873873873874,10,35,6,0,2,61,11,1981.0,1
Circle of Life (1994),1994.0,267,33,8.090909090909092,0.3408239700374532,3.460674157303371,52,33,13,0,4,25,0,1994.0,0
Claw Hammer (2016),2016.0,256,50,5.12,0.3828125,4.015625,41,41,13,0,0,45,0,2016.0,1
Club at the End of the Street (1989),1989.0,345,55,6.2727272727272725,0.263768115942029,3.4956521739130437,62,42,7,0,1,46,0,1989.0,0
Cold (1995),1995.0,265,33,8.030303030303031,0.290566037735849,3.2150943396226417,31,38,25,0,0,55,0,1995.0,1
Cold as Christmas (in the Middle of the Year) (1983),1983.0,365,30,12.166666666666666,0.2986301369863013,3.673972602739726,74,28,21,0,1,37,3,1983.0,1
Cold Heart (Acoustic) (2021),2021.0,387,20,19.35,0.1757105943152454,2.770025839793281,31,35,20,0,3,49,0,2021.0,1
Cold Heart (The Blessed Madonna Extended Mix) (2021),2021.0,171,14,12.214285714285714,0.2807017543859649,3.017543859649123,16,18,16,0,2,32,0,2021.0,1
Cold Highway (1974),1974.0,280,21,13.333333333333334,0.4214285714285714,3.9857142857142858,54,38,26,0,1,36,0,1974.0,1
Come and Get It,,166,15,11.066666666666666,0.2710843373493976,3.36144578313253,9,35,0,0,6,44,0,,0
Come Back Baby,,179,20,8.95,0.2793296089385474,3.4078212290502794,12,32,9,0,2,39,0,,0
Come Down in Time (1970),1970.0,220,11,20.0,0.4181818181818181,3.1954545454545453,34,32,8,0,1,34,0,1970.0,0
Conquer the Sun (1980),1980.0,188,9,20.88888888888889,0.4361702127659574,3.271276595744681,20,33,4,0,7,42,0,1980.0,0
